counterparty_id,counterparty_name,bank_name,country,risk_category
CP-0419,Counterparty Entity 419,Kotak Bank,IND,NORMAL
CP-0420,Counterparty Entity 420,Axis Bank,IND,HIGH_RISK
CP-0421,Counterparty Entity 421,SBI,IND,NORMAL
CP-0422,Counterparty Entity 422,Kotak Bank,IND,NORMAL
CP-0423,Counterparty Entity 423,Axis Bank,IND,NORMAL
CP-0424,Counterparty Entity 424,Kotak Bank,IND,NORMAL
CP-0425,Counterparty Entity 425,SBI,IND,NORMAL
CP-0426,Counterparty Entity 426,Kotak Bank,IND,NORMAL
CP-0427,Counterparty Entity 427,ICICI Bank,IND,NORMAL
CP-0428,Counterparty Entity 428,Kotak Bank,IND,NORMAL
CP-0429,Counterparty Entity 429,HDFC Bank,IND,NORMAL
CP-0430,Counterparty Entity 430,ICICI Bank,IND,HIGH_RISK
CP-0431,Counterparty Entity 431,ICICI Bank,IND,NORMAL
CP-0432,Counterparty Entity 432,Kotak Bank,IND,NORMAL
CP-0433,Counterparty Entity 433,Axis Bank,IND,NORMAL
CP-0434,Counterparty Entity 434,Axis Bank,IND,NORMAL
CP-0435,Counterparty Entity 435,ICICI Bank,IND,NORMAL
CP-0436,Counterparty Entity 436,Kotak Bank,IND,NORMAL
CP-0437,Counterparty Entity 437,ICICI Bank,IND,NORMAL
CP-0438,Counterparty Entity 438,Axis Bank,IND,NORMAL
CP-0439,Counterparty Entity 439,Kotak Bank,IND,NORMAL
CP-0440,Counterparty Entity 440,Axis Bank,IND,HIGH_RISK
CP-0441,Counterparty Entity 441,Kotak Bank,IND,NORMAL
CP-0442,Counterparty Entity 442,HDFC Bank,IND,NORMAL
CP-0443,Counterparty Entity 443,Kotak Bank,IND,NORMAL
CP-0444,Counterparty Entity 444,HDFC Bank,IND,NORMAL
CP-0445,Counterparty Entity 445,Kotak Bank,IND,NORMAL
CP-0446,Counterparty Entity 446,ICICI Bank,IND,NORMAL
CP-0447,Counterparty Entity 447,HDFC Bank,IND,NORMAL
CP-0448,Counterparty Entity 448,Kotak Bank,IND,NORMAL
CP-0449,Counterparty Entity 449,SBI,IND,NORMAL
CP-0450,Counterparty Entity 450,ICICI Bank,IND,HIGH_RISK
CP-0451,Counterparty Entity 451,Axis Bank,IND,NORMAL
CP-0452,Counterparty Entity 452,HDFC Bank,IND,NORMAL
CP-0453,Counterparty Entity 453,ICICI Bank,IND,NORMAL
CP-0454,Counterparty Entity 454,Axis Bank,IND,NORMAL
CP-0455,Counterparty Entity 455,SBI,IND,NORMAL
CP-0456,Counterparty Entity 456,SBI,IND,NORMAL
CP-0457,Counterparty Entity 457,Axis Bank,IND,NORMAL
CP-0458,Counterparty Entity 458,Kotak Bank,IND,NORMAL
CP-0459,Counterparty Entity 459,Axis Bank,IND,NORMAL
CP-0460,Counterparty Entity 460,HDFC Bank,IND,HIGH_RISK
CP-0461,Counterparty Entity 461,Axis Bank,IND,NORMAL
CP-0462,Counterparty Entity 462,Axis Bank,IND,NORMAL
CP-0463,Counterparty Entity 463,HDFC Bank,IND,NORMAL
CP-0464,Counterparty Entity 464,Axis Bank,IND,NORMAL
CP-0465,Counterparty Entity 465,HDFC Bank,IND,NORMAL
CP-0466,Counterparty Entity 466,ICICI Bank,IND,NORMAL
CP-0467,Counterparty Entity 467,Axis Bank,IND,NORMAL
CP-0468,Counterparty Entity 468,Kotak Bank,IND,NORMAL
CP-0469,Counterparty Entity 469,Kotak Bank,IND,NORMAL
CP-0470,Counterparty Entity 470,ICICI Bank,IND,HIGH_RISK
CP-0471,Counterparty Entity 471,ICICI Bank,IND,NORMAL
CP-0472,Counterparty Entity 472,HDFC Bank,IND,NORMAL
CP-0473,Counterparty Entity 473,Kotak Bank,IND,NORMAL
CP-0474,Counterparty Entity 474,Axis Bank,IND,NORMAL
CP-0475,Counterparty Entity 475,Kotak Bank,IND,NORMAL
CP-0476,Counterparty Entity 476,Axis Bank,IND,NORMAL
CP-0477,Counterparty Entity 477,HDFC Bank,IND,NORMAL
CP-0478,Counterparty Entity 478,Axis Bank,IND,NORMAL
CP-0479,Counterparty Entity 479,HDFC Bank,IND,NORMAL
CP-0480,Counterparty Entity 480,SBI,IND,HIGH_RISK
CP-0481,Counterparty Entity 481,HDFC Bank,IND,NORMAL
CP-0482,Counterparty Entity 482,SBI,IND,NORMAL
CP-0483,Counterparty Entity 483,SBI,IND,NORMAL
CP-0484,Counterparty Entity 484,Kotak Bank,IND,NORMAL
CP-0485,Counterparty Entity 485,HDFC Bank,IND,NORMAL
CP-0486,Counterparty Entity 486,Axis Bank,IND,NORMAL
CP-0487,Counterparty Entity 487,HDFC Bank,IND,NORMAL
CP-0488,Counterparty Entity 488,ICICI Bank,IND,NORMAL
CP-0489,Counterparty Entity 489,HDFC Bank,IND,NORMAL
CP-0490,Counterparty Entity 490,ICICI Bank,IND,HIGH_RISK
CP-0491,Counterparty Entity 491,HDFC Bank,IND,NORMAL
CP-0492,Counterparty Entity 492,HDFC Bank,IND,NORMAL
CP-0493,Counterparty Entity 493,Axis Bank,IND,NORMAL
CP-0494,Counterparty Entity 494,ICICI Bank,IND,NORMAL
CP-0495,Counterparty Entity 495,Axis Bank,IND,NORMAL
CP-0496,Counterparty Entity 496,Kotak Bank,IND,NORMAL
CP-0497,Counterparty Entity 497,HDFC Bank,IND,NORMAL
CP-0498,Counterparty Entity 498,Kotak Bank,IND,NORMAL
CP-0499,Counterparty Entity 499,HDFC Bank,IND,NORMAL
CP-0500,Counterparty Entity 500,SBI,IND,HIGH_RISK
